AX,AY,AZ
-0.07,-0.32,0.94
-0.04,-0.32,0.99
-0.03,-0.31,1.00
-0.06,-0.31,1.00
-0.06,-0.31,1.00
-0.06,-0.31,1.00
-0.03,-0.31,0.99
-0.03,-0.31,1.00
-0.01,-0.31,0.98
0.01,-0.31,0.96
-0.02,-0.32,0.93
-0.04,-0.32,0.94
-0.05,-0.32,0.96
-0.07,-0.33,0.96
-0.05,-0.33,0.97
-0.05,-0.33,0.98
-0.04,-0.32,0.98
-0.04,-0.32,0.97
-0.03,-0.32,0.97
-0.02,-0.31,0.95
-0.04,-0.32,0.95
-0.05,-0.31,0.95
-0.05,-0.32,0.95
-0.07,-0.31,0.96
-0.08,-0.32,0.97
-0.07,-0.31,0.98
-0.06,-0.31,0.99
-0.02,-0.31,0.99
-0.01,-0.31,0.96
-0.03,-0.31,0.94
-0.05,-0.31,0.95
-0.04,-0.31,0.96
-0.07,-0.32,0.97
-0.08,-0.32,0.96
-0.07,-0.32,0.99
-0.05,-0.32,1.02
-0.03,-0.31,0.98
-0.02,-0.32,0.98
-0.02,-0.31,0.97
-0.02,-0.32,1.00
-0.06,-0.31,0.98
-0.08,-0.31,0.99
-0.12,-0.31,1.00
-0.07,-0.31,1.01
-0.03,-0.31,1.03
-0.00,-0.31,1.04
0.00,-0.32,1.04
-0.02,-0.32,1.07
-0.06,-0.32,1.10
-0.10,-0.32,1.13
-0.12,-0.31,1.18
-0.14,-0.30,1.22
-0.10,-0.28,1.26
-0.01,-0.28,1.31
0.10,-0.28,1.42
0.16,-0.27,1.54
0.20,-0.27,1.72
0.23,-0.18,1.82
0.23,-0.33,1.99
0.15,-0.30,1.83
0.00,-0.30,1.68
0.08,-0.29,1.51
0.08,-0.33,1.44
0.11,-0.35,1.44
0.13,-0.37,1.43
0.13,-0.37,1.38
0.01,-0.40,1.47
-0.21,-0.41,1.66
-0.33,-0.40,1.68
-0.08,-0.35,1.36
0.15,-0.32,1.05
0.25,-0.33,0.92
0.21,-0.37,0.90
0.16,-0.40,0.91
0.13,-0.40,0.80
0.13,-0.39,0.67
0.03,-0.39,0.62
-0.11,-0.41,0.72
-0.16,-0.43,0.80
-0.16,-0.43,0.75
-0.03,-0.42,0.64
